from_zone_id,to_zone_id,K,node_sequence,estimate_path_proportion,estimate_path_flow,target_proportion
20,4,11,"[4, 11, 10, 15, 22, 20]",0.05648838,0.21181405,0.06
20,4,12,"[4, 11, 10, 15, 22, 21, 20]",0.054006923,0.20250934,0.05
20,4,13,"[4, 11, 14, 15, 19, 20]",0.056450754,0.21167296,0.06
20,4,14,"[4, 11, 14, 15, 22, 20]",0.05700212,0.21374042,0.06
20,4,15,"[4, 11, 14, 15, 22, 21, 20]",0.0544981,0.20435111,0.06
20,4,16,"[4, 11, 14, 23, 22, 21, 20]",0.053970955,0.20237449,0.06
20,4,17,"[4, 11, 14, 23, 22, 20]",0.056450754,0.21167296,0.06
20,4,18,"[4, 11, 14, 23, 24, 21, 20]",0.05406156,0.20271423,0.06
20,10,1,"[10, 16, 17, 19, 20]",0.18354778,8.076481,0.2
20,10,2,"[10, 17, 19, 20]",0.20369372,8.962943,0.2
20,10,3,"[10, 15, 19, 20]",0.21100734,9.284758,0.2
20,10,4,"[10, 15, 22, 20]",0.22605085,9.946703,0.2
20,10,5,"[10, 15, 22, 21, 20]",0.17570026,7.7311735,0.2
20,14,1,"[14, 15, 19, 20]",0.1804293,4.04287,0.17
20,14,2,"[14, 15, 22, 20]",0.19090447,4.277587,0.17
20,14,3,"[14, 15, 22, 21, 20]",0.15500098,3.4730992,0.16
20,14,4,"[14, 23, 22, 20]",0.1804293,4.04287,0.17
20,14,5,"[14, 23, 22, 21, 20]",0.1464959,3.2825263,0.16
20,14,6,"[14, 23, 24, 21, 20]",0.14673999,3.2879956,0.17
20,19,1,"[19, 20]",1.0,24.862255,1.0
